id,city,hour,is_workday,weather,wind,temp,y
119,1,5,1,2,0,9.45,4
120,1,0,1,1,2,27.6,14
121,0,6,0,2,1,12.65,5
122,1,20,1,2,4,25.15,51
123,0,18,1,1,1,35.65,196
124,1,12,1,1,2,13.8,36
125,1,3,0,3,0,6.6,1
126,1,7,1,1,1,-5.45,21
127,0,2,1,1,1,26.25,1
128,1,14,1,2,1,24.3,53
129,1,21,1,2,1,7.1,46
130,0,0,1,1,0,26.15,15
131,1,3,0,1,2,2.4,4
132,1,12,1,3,1,6.8,24
133,0,21,0,2,2,13.05,17
134,1,14,0,1,0,39.1,70
135,1,15,0,2,1,17.1,105
136,1,2,0,1,0,1.75,9
137,1,22,0,1,0,15.35,34
138,0,23,1,2,2,1.9,17
139,0,8,1,1,0,12.25,189
140,0,0,0,1,0,4.2,27
141,1,22,1,1,0,.6,12
142,0,13,0,1,2,3.55,44
143,0,5,1,2,1,13.6,5
144,0,21,1,3,1,22.25,72
145,0,4,0,2,0,8,2
146,0,11,1,1,1,26.15,68
147,1,8,0,1,1,16.3,25
148,0,18,1,3,5,16.3,94
149,0,16,1,2,2,6.7,29
150,0,23,1,1,2,14.4,23
151,1,10,1,1,1,14,41
152,0,20,1,1,1,16.15,72
153,1,17,1,1,1,10.15,81
154,1,13,1,2,3,16.4,67
155,0,10,0,1,0,18.25,104
156,0,9,1,1,2,14.9,86
157,1,9,1,2,2,15.2,72
158,0,7,1,1,0,27.6,122
159,0,23,1,1,0,2.55,15
160,1,9,0,1,0,.9,32
161,1,3,0,1,3,.65,9
162,0,18,1,1,2,29.75,201
163,0,16,0,1,2,23.15,183
164,1,18,1,2,2,21.75,106
165,0,1,1,1,0,12.25,5
166,1,20,1,3,2,28.7,97
167,1,3,1,2,0,7.6,0
168,1,11,0,1,2,29.05,87
169,0,7,0,1,2,17.6,17
170,1,12,1,1,2,23.05,64
171,1,15,1,2,0,14.7,64
172,1,10,1,1,4,13.5,39
173,1,8,1,1,1,-4.1,53
174,1,20,1,1,0,11.4,51
175,0,1,1,1,0,25.3,10
176,1,2,0,1,0,-2.1,4
177,1,5,0,1,0,4.5,1
178,1,7,0,1,1,-7.3,1
179,0,20,1,1,2,18.45,105
180,0,1,0,2,0,3.1,23
181,0,7,1,2,0,6.05,89
182,1,16,1,1,1,25.65,93
183,0,16,1,1,1,11.1,70
184,1,1,0,1,0,23.95,27
185,1,21,1,1,0,6.7,18
186,1,23,1,1,0,20.15,44
187,0,23,1,2,0,21.65,25
188,0,3,1,2,2,2.5,0
189,0,8,0,1,0,1.85,25
190,1,16,1,1,3,24.8,87
191,1,19,1,1,2,23.7,114
192,0,13,1,1,1,32.6,59
193,1,16,0,1,1,39.3,66
194,1,7,0,1,1,.1,3
195,1,15,1,1,0,34.6,49
196,1,12,1,2,2,6,26
197,0,17,1,2,2,27.7,206
198,0,19,1,1,2,25.35,153
199,0,1,1,1,2,26.35,7
200,0,14,0,1,1,22.1,169
201,1,13,1,2,1,12.35,54
202,0,4,1,1,0,-3.7,0
203,0,0,1,1,2,7.45,7
204,1,19,0,1,3,17.2,69
205,1,18,1,1,2,18.95,124
206,1,10,1,2,1,5.6,23
207,0,23,1,1,2,23.25,25
208,0,11,1,1,2,11,63
209,1,0,0,3,2,23.2,27
210,0,6,0,1,0,-5.05,2
211,0,20,0,1,0,26.55,48
212,1,5,0,2,1,22.35,1
213,0,4,0,2,0,1.65,0
214,1,3,1,1,1,7.85,1
215,0,16,1,1,2,19.35,130
216,1,15,1,1,0,22.2,42
217,0,12,1,1,2,31.25,69
218,1,9,1,2,2,18.2,62
219,1,3,0,1,1,-1.95,5
220,1,14,0,3,5,16.8,18
221,0,16,0,1,0,9.05,71
222,1,6,1,1,0,1.6,12
223,0,22,0,1,1,26.75,56
224,0,20,1,1,1,23.15,85
225,1,4,0,1,0,20.1,1
226,1,8,1,2,3,17.4,121
227,0,16,1,3,0,26.15,70
228,0,18,1,1,1,17.3,216
229,0,3,1,1,0,16.5,1
230,1,17,0,2,1,16.7,60
231,1,18,1,1,2,6.3,114
232,1,2,1,1,1,21.25,6
233,1,18,1,1,2,21.5,146
234,1,19,0,2,1,10.15,39
235,0,8,1,2,2,12.35,192
236,0,6,1,1,1,8.05,39
237,0,7,1,1,2,22.4,117
238,1,13,1,1,0,34.6,46
239,0,14,1,1,1,34.7,48
240,1,2,1,1,0,19.05,3
241,0,7,0,3,1,16.4,8
242,0,20,1,1,1,22.4,89
243,1,15,1,3,2,3.2,21
244,0,13,1,2,0,14.2,66
245,0,7,0,2,2,-.35,11
246,1,8,1,2,2,6.4,76
247,1,15,1,1,3,36.1,43
248,1,6,1,1,0,19.45,33
249,0,6,1,1,2,.45,31
250,0,17,1,1,1,23.6,206
251,0,5,0,1,2,26.75,4
252,1,14,1,1,2,34.35,47
253,0,11,1,3,0,6.8,17
254,0,5,0,3,1,.25,0
255,1,20,0,1,2,26.05,58
256,0,15,0,1,2,10.9,84
257,1,9,0,1,2,10.9,40
258,0,15,1,2,2,16.4,51
259,0,10,1,1,0,23.05,45
260,1,8,0,1,2,11.2,12
261,1,10,0,1,2,28.1,91
262,1,21,1,1,0,13.5,37
263,0,17,1,2,1,11.35,157
264,1,21,0,1,0,27.9,40
265,1,12,1,3,0,13.4,16
266,1,12,0,3,4,.65,15
267,0,1,0,1,0,27.7,20
268,0,1,1,1,1,18.85,6
269,0,4,1,2,0,-.2,0
270,0,3,1,2,2,2.5,0
271,0,23,1,2,2,18.65,19
272,0,21,0,1,0,27.6,46
273,1,12,1,3,4,17.8,34
274,0,0,0,3,0,1.65,2
275,1,13,1,2,0,-.2,15
276,1,22,1,1,0,16.9,45
277,0,16,1,2,1,11.4,87
278,0,15,1,2,0,22.55,113
279,0,19,1,3,2,5.3,22
280,0,19,0,1,2,26.25,46
281,0,1,0,2,2,5.1,17
282,1,16,1,1,0,32.75,84
283,1,22,1,1,2,9.45,28
284,1,11,1,1,0,-1.15,15
285,0,2,0,1,2,7.15,17
286,0,9,1,1,0,6.7,63
287,1,19,1,1,2,26.25,109
288,0,15,1,1,2,22.55,100
289,1,13,0,1,3,10.05,46
290,0,18,0,1,3,1.9,36
291,1,4,1,1,2,6.7,2
292,1,13,1,1,0,25.2,64
293,1,0,0,1,0,16.6,29
294,1,0,1,1,0,4.2,6
295,0,21,1,1,4,5.1,34
296,0,16,0,3,4,9.55,8
297,0,15,1,2,2,-2.75,22
298,1,7,0,2,1,22.5,7
299,0,8,1,2,0,23,157
300,0,7,1,2,2,26.75,127
301,1,4,0,2,1,23.05,3
302,1,9,1,3,0,17,48
303,0,18,0,1,4,16.7,102
304,0,12,1,1,2,31.5,60
305,0,7,1,3,2,23.4,58
306,1,0,1,2,1,-1,5
307,1,14,0,1,1,27.3,132
308,0,13,1,1,2,32.8,59
309,0,5,1,1,1,6.9,10
310,1,1,1,1,1,28.1,5
311,1,22,0,2,0,21.35,57
312,1,16,1,1,3,17.7,50
313,0,3,1,1,0,23.1,0
314,1,23,0,1,1,27.1,42
315,0,16,0,2,1,6.9,35
316,1,14,0,1,1,31.5,112
317,0,7,1,2,1,15.65,87
318,0,11,1,1,1,2.5,33
319,0,7,0,1,0,15.85,8
320,0,3,0,1,1,28.9,7
321,0,6,0,1,2,21.55,5
322,1,7,1,2,2,16.05,52
323,0,11,1,2,3,22.8,53
324,1,2,1,1,1,18.35,1
325,0,13,1,2,1,11.3,66
326,0,22,1,1,2,7.45,27
327,1,14,0,2,3,12.25,54
328,1,15,0,2,0,15.55,79
329,0,12,1,1,0,33.15,70
330,0,9,1,1,3,-.55,66
331,0,12,1,1,0,27,81
332,1,10,0,2,1,15.3,79
333,0,22,1,3,4,19.35,38
334,1,20,1,2,1,.75,18
335,0,20,1,1,0,28.35,130
336,1,2,1,1,0,25,2
337,0,12,1,1,4,10.6,59
338,1,23,1,1,0,23.25,18
339,0,20,1,1,4,1,48
340,0,8,1,1,2,29.55,167
341,0,21,1,1,1,27.6,78
342,0,20,0,2,0,19.95,49
343,1,6,1,1,1,3.3,8
344,0,7,0,2,1,6.8,39
345,0,23,1,1,2,19.65,21
346,0,21,1,2,2,22.65,56
347,1,14,0,1,4,-2,28
348,0,16,1,1,2,31.5,113
349,0,4,1,1,1,22.45,1
350,0,8,1,1,1,24.4,205
351,1,6,1,3,1,15.35,24
352,1,6,0,1,1,6.2,4
353,1,0,0,1,1,11,28
354,1,0,1,1,0,7.4,4
355,0,10,1,2,2,12.65,33
356,1,18,1,1,0,1,41
357,0,13,1,1,3,21.9,91
358,0,13,1,1,0,33.8,71
359,1,6,1,1,2,11.1,18
360,1,23,1,1,1,34.2,33
361,1,8,1,1,1,3.3,143
362,0,17,1,1,2,12.15,117
363,0,7,0,1,0,14.3,23
364,1,11,1,1,4,.7,18
365,0,22,0,1,2,16.9,28
366,1,4,1,1,1,2.9,0
367,1,12,1,1,2,34.1,48
368,1,19,1,2,1,2.4,43
369,0,9,1,2,1,7.45,69
370,1,16,0,3,2,25.2,105
371,1,1,0,1,0,4.1,34
372,0,3,1,1,0,19.05,0
373,1,3,1,1,0,21.7,0
374,1,21,1,2,1,7.75,38
375,0,22,1,2,2,4.95,30
376,1,10,0,1,2,32.05,78
377,1,9,0,2,0,25,50
378,0,18,1,2,3,23.1,173
379,0,17,0,3,4,-.85,36
380,0,3,0,1,0,6.6,5
381,1,2,0,1,0,7.3,15
382,1,14,1,2,0,8.85,25
383,1,12,1,2,4,18.75,27
384,1,10,1,3,1,20,19
385,0,0,1,1,2,1.15,3
386,0,18,1,2,2,31.75,206
387,0,2,1,1,2,7.25,1
388,1,15,1,2,0,.9,12
389,1,1,1,1,0,16.2,5
390,1,21,1,1,2,14.2,30
391,0,3,1,2,0,17.8,0
392,0,21,1,2,0,6.2,56
393,0,10,1,1,1,12.35,48
394,1,8,0,2,2,2.6,17
395,0,22,1,2,0,8.55,41
396,0,21,1,2,1,17.3,55
397,0,10,1,1,2,18.55,43
398,1,10,1,2,2,24.4,36
399,0,6,1,1,0,7.6,35
400,1,17,1,1,0,15.95,55
401,0,3,1,2,2,23.35,0
402,1,22,0,1,3,18.55,39
403,0,10,1,1,2,21.75,44
404,1,3,1,1,0,13.4,2
405,1,12,1,2,3,7.45,28
406,1,21,1,1,1,16.05,54
407,0,11,0,1,2,22.25,154
408,0,14,1,1,0,7.7,40
409,1,23,1,1,1,25.1,38
410,0,8,1,1,3,5.2,130
411,1,0,1,1,0,23.45,6
412,1,1,1,1,3,9.75,2
413,0,15,1,1,0,31.5,77
414,1,8,1,1,1,23.9,134
415,0,1,1,1,1,23.15,2
416,0,19,1,2,2,19.15,113
417,1,22,0,1,1,32.1,37
418,0,15,1,1,4,26,80
419,1,5,0,1,2,10.8,0
420,0,22,0,1,0,15.45,27
421,0,9,1,1,2,11.3,89
422,0,16,0,1,2,35.85,114
423,0,7,0,2,2,5.8,14
424,1,18,0,2,0,13.4,47
425,0,18,1,1,1,18.65,133
426,0,22,1,1,0,3.4,37
427,0,18,1,1,2,22.1,163
428,0,4,1,1,2,22.35,0
429,0,14,0,2,0,1.95,24
430,1,15,1,1,2,32.25,37
431,0,15,1,1,3,18.1,68
432,0,17,1,3,2,10.5,175
433,0,16,0,1,3,6.95,81
434,1,9,0,1,2,22.75,53
435,1,16,1,3,2,14.2,26
436,0,15,1,1,1,23.6,71
437,1,14,1,2,3,7.45,26
438,1,22,1,1,2,5.3,13
439,0,7,1,1,0,23.05,135
440,1,13,1,1,3,31.55,54
441,0,0,0,1,2,23.45,45
442,1,13,1,2,3,7.85,16
443,0,23,1,1,1,27.5,36
444,1,5,0,1,0,19.55,3
445,1,3,1,1,0,5.1,0
446,0,19,1,1,1,29.55,159
447,0,9,1,1,0,14.3,91
448,1,10,0,1,1,6.3,64
449,1,21,1,1,3,22.6,63
450,0,19,0,1,2,16.05,95
451,0,16,0,1,3,26.8,156
452,1,5,1,1,1,17.2,7
453,0,2,1,1,1,6.7,2
454,1,10,0,1,2,35.1,67
455,0,2,1,2,1,5.15,1
456,0,11,0,2,2,1.8,56
457,0,0,1,3,3,7.75,0
458,1,12,1,1,2,18.35,16
459,1,15,1,3,2,3.65,19
460,1,9,1,2,0,-.45,66
461,0,8,1,2,0,21.85,147
462,0,23,0,2,2,18.45,26
463,1,14,1,1,1,28.55,48
464,1,14,1,1,2,-.05,19
465,0,7,0,1,0,-2.15,4
466,1,0,0,1,0,14.9,26
467,0,17,0,2,2,9.55,71
468,1,1,1,1,0,7.5,3
469,1,7,1,1,2,16.2,102
470,1,9,0,1,3,-6.65,8
471,0,4,1,2,1,17.4,1
472,1,22,0,2,0,9.55,20
473,0,4,1,1,2,22.3,3
474,1,10,0,1,5,26.15,42
475,0,14,1,1,0,26.5,66
476,0,9,1,1,3,7.95,73
477,1,2,1,3,0,18.25,2
478,0,12,0,1,2,18.25,106
479,1,12,1,1,2,16.05,31
480,1,6,1,1,2,.55,8
481,0,21,0,1,1,11.95,41
482,0,10,0,1,3,27.9,97
483,1,18,1,3,2,5.3,18
484,1,10,1,2,1,27.1,45
485,0,3,1,2,0,3.9,0
486,1,2,1,3,1,22.25,1
487,1,12,1,1,1,25.75,71
488,1,15,0,3,3,5.6,40
489,0,12,1,1,3,18.25,88
490,1,1,1,2,2,-1.3,2
491,0,1,1,1,1,25.3,4
492,1,9,0,2,2,15.2,53
493,0,12,1,1,2,7.75,71
494,1,5,0,2,1,-.95,0
495,1,5,1,1,2,14.5,6
496,0,18,1,1,3,17.5,133
497,1,7,0,1,1,.85,8
498,1,17,1,1,1,25.95,171
499,0,17,0,1,2,14.9,92
500,1,9,1,2,1,16.05,69
501,1,1,1,2,1,-.1,0
502,0,4,1,1,0,27.9,1
503,0,14,1,1,1,31.55,61
504,1,12,1,2,0,22.65,57
505,1,3,1,1,2,-.15,1
506,1,10,1,2,2,17.7,38
507,1,2,0,2,0,-.2,6
508,1,3,0,1,1,11.3,7
509,0,0,0,1,1,10.25,22
510,0,5,1,2,2,22.2,10
511,1,7,1,2,1,12.85,94
512,1,16,0,1,0,26.6,119
513,0,3,0,1,2,7.75,6
514,1,6,1,1,3,17.2,31
515,0,20,1,1,0,22.35,117
516,1,2,0,2,2,-2.15,2
517,0,16,0,2,0,23.9,90
518,1,16,1,1,3,26.35,71
519,0,21,1,2,1,17.6,71
520,0,22,0,1,0,18.45,32
521,1,4,0,2,2,11.2,3
522,0,17,1,1,1,18.75,187
523,0,17,0,1,2,34.9,124
524,1,10,1,2,1,7.65,31
525,0,10,0,1,3,7.35,83
526,1,8,1,1,2,22.65,121
527,0,7,1,1,0,3.8,68
528,1,16,1,1,2,17.9,41
529,0,16,0,1,3,11.95,103
530,0,18,1,3,2,2.9,10
531,1,12,1,1,0,.4,16
532,1,5,1,3,0,-2.2,0
533,1,1,1,1,0,6.35,3
534,0,20,0,2,1,24.1,89
535,0,5,1,1,0,18.15,9
536,1,4,0,1,0,4.1,3
537,1,1,1,1,2,13.7,2
538,0,14,1,2,1,17.9,42
539,1,15,1,1,2,21.3,50
540,1,4,1,1,1,-.4,0
541,0,18,1,1,3,16.8,134
542,1,18,1,1,2,5.7,112
543,0,8,0,1,2,25.1,42
544,0,1,0,1,1,22.75,28
545,0,12,0,1,0,14.7,158
546,1,17,1,3,2,12.85,68
547,0,0,1,1,1,23.55,13
548,1,16,1,1,2,.05,23
549,1,2,1,1,2,19.05,4
550,1,16,0,1,0,8.15,44
551,0,18,1,1,2,32.6,195
552,1,16,1,1,2,26.25,59
553,1,3,0,1,1,28.3,12
554,0,18,0,1,2,-1.45,30
555,1,15,0,1,2,27.3,121
556,1,6,0,2,0,20.85,0
557,1,9,1,3,0,18.45,32
558,1,15,1,1,1,13.35,50
559,0,8,1,3,1,5.9,127
560,0,9,1,2,0,15.85,85
561,1,18,1,1,0,28.8,159
562,0,5,1,2,1,22.45,11
563,0,12,1,1,2,11.95,85
564,1,18,0,1,1,11.65,60
565,1,22,1,1,1,23.05,35
566,1,10,1,2,2,16.2,39
567,0,19,1,1,3,6.95,63
568,1,5,1,1,0,23.1,7
569,0,21,1,1,0,7.4,34
570,1,11,1,2,2,22.45,46
571,0,1,1,3,3,19.85,3
572,0,9,0,2,2,-3.25,15
573,0,4,1,2,0,5.35,0
574,1,11,0,2,1,10.4,59
575,1,18,0,1,1,6.2,9
576,0,9,0,1,1,-5,22
577,0,15,1,1,1,36.4,62
578,0,5,1,1,2,15.95,10
579,0,2,1,1,0,22.25,4
580,0,6,1,2,0,17.2,36
581,0,17,1,1,3,14.2,143
582,1,23,0,1,1,6.3,15
583,0,19,1,1,1,31.05,163
584,0,17,1,1,1,7,101
585,0,23,1,1,1,2.05,22
586,0,16,1,1,1,24.1,147
587,0,10,0,1,1,19.25,121
588,0,20,1,1,1,13.8,83
589,0,7,1,1,0,15.35,139
590,1,1,0,1,1,1.65,16
591,0,6,0,1,1,16.8,8
592,0,3,0,1,0,22.45,11
593,0,13,0,1,1,4.75,66
594,1,7,0,2,1,10.5,0
595,0,10,0,2,2,2.6,37
596,1,7,1,1,2,11.75,92
597,0,22,1,1,3,23.7,47
598,1,12,1,1,3,5.9,28
599,0,3,1,1,0,27.6,0
600,1,23,1,1,0,15.85,40
601,1,14,1,2,3,7.45,26
602,1,1,0,2,0,25.2,23
603,0,10,1,1,1,37.05,34
604,1,1,0,2,0,19.55,23
605,1,12,0,1,1,26.6,132
606,0,6,1,2,0,1.15,17
607,1,5,1,1,0,6.35,8
608,1,21,1,1,1,25.95,69
609,0,1,1,1,0,16.4,5
610,0,10,1,1,0,25.55,56
611,1,23,1,1,0,8.05,14
612,1,13,1,1,2,25.3,41
613,0,18,1,1,4,18.35,196
614,1,0,1,1,0,26.25,8
615,0,20,1,1,0,24.6,108
616,1,6,1,2,0,28.5,32
617,1,11,1,2,2,28.2,49
618,0,21,1,1,0,5.95,46
619,1,15,1,2,0,13.25,46
620,1,18,0,1,2,6.9,62
621,1,5,1,1,1,21.9,6
622,1,16,1,1,2,29.8,92
623,0,19,1,2,2,10.05,95
624,0,13,0,1,0,15.95,151
625,0,23,1,1,1,22.25,42
626,1,8,1,2,4,23.5,119
627,1,3,1,3,0,20.85,0
628,1,9,1,2,1,28.3,68
629,1,3,0,2,2,26.85,9
630,1,2,1,3,1,18.35,1
631,1,13,1,1,2,19.35,75
632,0,5,1,1,0,19.25,16
633,0,9,1,3,2,15.55,27
634,1,23,1,1,0,5.5,6
635,1,19,1,1,1,5.9,80
636,1,12,1,2,4,25,65
637,0,4,1,1,1,12.25,1
638,1,13,0,1,2,27.7,115
639,0,1,0,1,0,18.15,23
640,0,17,1,1,0,25.4,238
641,1,18,0,1,0,10.45,51
642,1,5,1,1,2,4.45,2
643,0,23,1,1,0,17.4,22
644,0,14,1,3,0,2.65,11
645,1,1,0,1,0,2.45,12
646,1,18,1,1,2,5.3,45
647,1,19,0,2,1,26.9,95
648,1,21,0,2,0,12.85,4
649,1,2,0,1,1,21.65,13
650,0,18,0,1,3,5.5,42
651,0,13,0,2,0,12.75,81
652,1,3,1,1,1,6.9,0
653,1,3,1,1,2,17.7,1
654,0,21,1,2,0,24.3,52
655,0,2,0,1,0,6.8,17
656,1,20,1,2,1,1.35,21
657,1,18,1,1,2,5.1,72
658,1,3,1,1,2,23.9,1
659,0,3,1,1,0,4,0
660,0,23,0,1,2,29.95,56
661,0,8,1,1,0,16.15,201
662,0,0,1,1,2,4.55,5
663,0,12,1,1,1,6.4,38
664,1,14,1,2,3,14.8,15
665,1,16,1,3,2,12.55,30
666,0,7,1,2,1,10.7,70
667,1,8,1,2,0,-.85,69
668,0,1,1,2,0,21.05,5
669,1,18,1,1,0,8.85,88
670,1,12,1,1,2,22.75,56
671,0,20,0,1,2,14.7,62
672,0,17,1,2,0,11.65,104
673,0,11,1,1,1,30.35,66
674,1,14,1,1,2,-1.2,17
675,0,18,1,1,4,-5.5,56
676,0,6,0,1,1,5.8,4
677,0,19,1,1,1,27.5,160
678,1,0,0,2,0,15.65,30
679,1,2,1,1,0,22.45,2
680,0,3,1,1,2,16.6,2
681,1,19,0,3,4,3.05,3
682,1,3,1,1,1,8.35,0
683,0,15,1,1,2,11.3,55
684,0,13,1,1,0,18.65,75
685,1,1,1,1,2,12.75,2
686,1,23,1,1,0,13.9,9
687,0,8,0,1,2,23.15,47
688,1,14,1,2,0,28.4,33
689,1,4,0,1,2,.65,0
690,1,3,1,2,4,13.4,2
691,1,7,0,1,2,9.55,6
692,0,20,1,1,2,27.1,117
693,1,8,1,1,4,9.55,76
694,0,5,1,1,1,.55,9
695,1,5,1,2,1,18.35,5
696,1,8,0,1,1,-4.1,6
697,0,8,0,2,2,23.6,40
698,0,23,0,3,1,29.75,28
699,1,1,1,1,1,11,4
700,1,19,1,1,2,23.1,90
701,0,22,0,1,0,10.9,47
702,1,18,1,1,0,8.45,70
703,1,17,1,1,1,20.15,140
704,1,9,0,1,0,11.55,50
705,0,5,1,1,0,21.55,10
706,0,14,0,1,0,17.3,165
707,0,20,0,3,0,8.45,27
708,1,5,1,1,1,-.9,1
709,0,21,0,1,0,23.85,65
710,1,0,1,1,0,7,5
711,0,10,1,1,2,24.2,62
712,0,9,1,2,1,15.3,91
713,0,19,0,2,0,10.7,28
714,0,21,1,2,1,11.2,48
715,1,13,0,1,0,11.3,106
716,0,14,0,1,2,26.7,145
717,0,9,1,1,1,26.05,68
718,1,2,1,1,0,10.15,4
719,1,14,0,3,1,7.55,76
720,1,16,1,3,2,3.1,10
721,1,0,0,1,1,.65,3
722,0,6,1,1,2,21.8,45
723,0,0,1,2,1,14.8,7
724,1,0,1,1,1,19.1,12
725,0,8,1,1,1,10.8,151
726,1,8,0,1,1,23.65,32
727,1,4,1,2,1,7.1,0
728,0,3,1,2,0,13.9,0
729,0,16,1,2,1,1.75,30
730,0,0,0,3,2,-2.85,5
731,0,11,1,2,1,17.4,53
732,0,16,1,1,2,25.45,126
733,1,1,1,2,0,17.9,3
734,1,9,1,1,2,.25,54
735,1,12,0,2,0,-7.4,21
736,0,11,0,3,0,.3,11
737,1,7,1,3,0,1.65,28
738,1,8,0,1,2,24.9,35
739,0,17,0,2,1,23.7,146
740,0,19,0,1,2,4.05,17
741,0,14,1,1,2,39.6,43
742,0,18,1,1,0,23.35,135
743,0,15,1,1,0,35.85,45
744,0,12,0,2,0,25.85,128
745,1,6,0,1,1,-.7,0
746,0,18,1,1,2,6.4,116
747,0,9,0,1,0,.4,13
748,1,20,0,2,0,29.35,115
749,1,17,1,1,2,6.3,84
750,0,4,1,1,0,25.95,1
751,0,19,1,1,3,17.7,140
752,0,3,1,1,0,24.5,2
753,0,6,1,1,2,13.25,49
754,0,2,1,3,2,19.8,2
755,1,16,1,2,2,23.35,86
756,1,20,1,2,0,15.65,67
757,1,16,1,2,1,8.25,34
758,0,2,0,2,2,1.6,4
759,0,6,1,2,0,3.9,22
760,1,4,0,1,0,8.4,1
761,1,15,1,3,2,12.05,10
762,0,15,0,1,3,16.4,158
763,0,21,1,3,2,6.9,6
764,0,17,0,1,0,26.6,158
765,0,8,1,1,0,5.85,146
766,0,12,1,1,2,22.3,79
767,0,9,0,1,1,.25,33
768,1,2,0,2,0,-1.35,3
769,0,11,1,1,1,26.15,77
770,0,0,1,1,0,3.8,6
771,1,19,1,1,0,31.4,111
772,0,3,0,2,0,11.3,11
773,0,17,1,1,2,18.25,194
774,1,19,1,1,2,6,40
775,0,8,1,2,0,27.8,191
776,0,22,0,2,0,5.95,37
777,0,16,0,1,0,27.4,163
778,0,23,0,3,0,24.8,30
